,id,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
50,14051,1,7,11,29,30,3,11
51,14052,14,19,21,24,30,2,7
52,14053,2,11,17,27,30,3,4
53,14054,2,3,20,25,34,1,12
54,14055,4,23,26,27,35,10,11
55,14056,12,18,28,29,35,7,8
56,14057,8,10,20,27,33,1,9
57,14058,9,15,22,24,26,2,7
58,14059,7,15,17,25,29,4,11
59,14060,12,22,29,30,34,5,11
60,14061,4,11,17,20,29,6,10
61,14062,4,7,17,24,25,2,4
62,14063,11,17,21,23,34,3,4
63,14064,8,15,33,34,35,1,8
64,14065,7,12,19,31,33,7,12
65,14066,8,14,16,20,31,3,11
66,14067,3,18,23,24,31,3,7
67,14068,5,15,24,29,35,5,6
68,14069,16,22,27,29,31,2,9
69,14070,1,2,7,10,32,4,12
70,14071,4,14,15,22,23,1,7
71,14072,17,19,22,24,30,2,9
72,14073,4,5,7,13,35,5,6
73,14074,6,11,22,27,30,5,11
74,14075,5,7,29,32,35,4,10
75,14076,5,10,19,31,32,9,10
76,14077,9,16,26,31,32,1,5
77,14078,10,15,16,22,28,4,5
78,14079,9,10,20,31,32,6,10
79,14080,17,20,23,25,27,3,10
80,14081,3,5,8,10,25,9,12
81,14082,1,8,18,23,25,8,12
82,14083,18,20,24,33,35,5,10
83,14084,2,7,9,11,28,5,9
84,14085,6,12,13,25,29,11,12
85,14086,6,8,27,29,35,3,9
86,14087,4,7,31,33,35,9,10
87,14088,7,13,20,25,26,8,11
88,14089,2,8,12,29,30,7,12
89,14090,2,3,20,23,28,6,8
90,14091,10,16,18,29,32,2,7
91,14092,2,18,27,30,32,5,11
92,14093,3,8,30,32,34,9,11
93,14094,13,14,24,25,34,4,7
94,14095,6,22,30,31,34,5,6
95,14096,3,7,21,23,31,5,10
96,14097,3,15,20,21,23,7,9
97,14098,16,18,22,25,35,3,10
98,14099,15,21,22,23,33,1,7
99,14100,2,4,8,12,35,1,7
100,14101,9,10,12,17,28,3,11
101,14102,1,7,14,19,20,3,12
102,14103,14,20,23,25,26,10,12
103,14104,7,13,14,28,32,4,11
104,14105,4,10,26,29,32,4,8
105,14106,5,9,11,20,22,5,11
106,14107,5,13,14,21,34,8,10
107,14108,1,2,13,23,35,9,12
108,14109,15,18,20,21,23,1,2
109,14110,9,18,19,22,24,8,11
110,14111,11,16,18,20,29,3,4
111,14112,3,5,14,18,32,2,10
112,14113,2,13,17,19,23,1,6
113,14114,3,16,24,30,33,5,8
114,14115,1,5,26,29,30,2,10
115,14116,6,13,15,24,27,4,5
116,14117,3,14,17,18,33,6,9
117,14118,2,3,23,24,26,5,11
118,14119,4,8,9,13,18,8,12
119,14120,1,4,6,18,33,5,11
120,14121,13,16,18,22,32,8,10
121,14122,3,10,25,26,35,1,7
122,14123,1,9,12,22,25,2,9
123,14124,1,3,28,29,35,8,12
124,14125,12,15,19,23,31,4,10
125,14126,2,9,22,30,34,9,10
126,14127,2,4,6,15,19,2,11
127,14128,2,4,16,22,34,8,11
128,14129,7,22,28,30,32,5,6
129,14130,2,18,31,32,33,5,7
130,14131,3,16,19,23,27,3,7
131,14132,1,3,4,19,32,1,7
132,14133,2,8,12,14,18,4,12
133,14134,2,5,7,11,32,9,12
134,14135,20,26,28,30,35,9,12
135,14136,4,18,20,34,35,7,11
136,14137,2,11,16,22,34,2,5
137,14138,1,7,29,32,34,9,12
138,14139,3,5,7,15,34,1,10
139,14140,1,19,20,25,34,7,12
140,14141,4,17,20,26,29,5,8
141,14142,18,21,25,28,30,4,6
142,14143,1,11,14,18,25,6,10
143,14144,1,21,24,25,35,4,11
144,14145,15,19,22,24,26,10,11
145,14146,2,16,23,24,28,10,11
146,14147,5,9,14,26,34,2,9
147,14148,3,9,10,11,20,7,9
148,14149,2,13,19,26,35,1,5
149,14150,19,21,30,33,35,5,7
150,14151,3,8,26,31,32,8,12
151,14152,5,12,18,24,33,1,5
152,14153,1,8,13,24,32,5,10
153,14154,5,12,17,23,28,2,9
0,15001,8,9,19,27,30,6,7
1,15002,3,14,20,26,32,6,10
2,15003,12,19,27,28,34,1,12
3,15004,3,12,14,18,28,5,6
4,15005,11,14,15,18,19,7,8
5,15006,6,8,30,32,33,3,7
6,15007,2,7,8,14,31,4,8
7,15008,7,10,11,15,17,3,10
8,15009,17,22,26,27,33,6,10
9,15010,2,6,17,30,35,2,7
10,15011,4,13,22,25,30,1,6
11,15012,3,4,6,11,31,5,9
12,15013,11,15,25,28,35,7,10
13,15014,8,16,25,29,35,3,10
14,15015,1,5,13,17,32,4,11
15,15016,6,7,16,20,34,9,11
16,15017,7,13,16,17,29,1,7
